Token-level results	            precision    	recall       	f1
Average	                        99.69	        99.785	        99.74
Best	                        99.94	        99.94	        99.94
Worst	                        99.27	        99.65	        99.48


Field-level results	            precision    	recall       	f1
Average	                        98.88	        98.978	        98.927
Best	                        99.32	        99.66	        99.49
Worst	                        97.92	        98.26	        98.09

Instance-level results			Instance-level recall
Average			                    99.13
Best			                    99.83
Worst			                    98.28
